Security Code,Security Ticker,Security Name,Sector,Previous Closing Price,Open Price,High,Low,Closing Price,Volume,Value,No. of Trades,No. of Shares,Market Cap
438,MENA,MENA REAL ESTATE COMPANY,REAL ESTATE,118,119,133,119,124,"26,750,920","3,386,599.69",965,"190,000,000","23,560,000.00"
440,MARAKEZ,REAL ESTATE TRADE CENTERS CO.,REAL ESTATE,376,376,378,356,370,"5,462,155","1,986,970.55",936,"138,750,000","51,337,500.00"
501,NIND,NATIONAL INDUSTRIES GROUP (HOLDING),FINANCIAL SERVICES,305,306,310,303,307,"6,729,894","2,067,763.95",297,"2,530,439,781","776,845,012.77"
503,KCEM,KUWAIT CEMENT COMPANY,INDUSTRIALS,402,395,399,395,397,"353,030","139,881.85",18,"712,973,670","283,050,546.99"
505,CABLE,GULF CABLES AND ELECTRICAL INDUSTRIES GROUP CO. (K.S.C.P),INDUSTRIALS,"2,120.00","2,120.00","2,120.00","2,092.00","2,119.00","323,542","683,670.20",88,"207,835,960","440,404,399.24"
506,SHIP,HEAVY ENGINEERING INDUSTRISE AND SHIP BUILDING CO.,INDUSTRIALS,867,877,877,860,872,"523,378","453,832.57",87,"180,240,080","157,169,349.76"
508,PCEM,KUWAIT PORTLAND CEMENT COMPANY,INDUSTRIALS,690,690,690,682,690,852,583.086,4,"100,221,287","69,152,688.03"
509,PAPER,SHUAIBA INDUSTRIAL CO.,INDUSTRIALS,265,256,265,256,265,"9,281","2,419.54",4,"99,237,767","26,298,008.26"
510,MRC,METAL & RECYCLING CO.,INDUSTRIALS,151,149,153,146,150,"665,293","99,202.34",53,"90,088,526","13,513,278.90"
511,KFOUC,KUWAIT FOUNDRY CO.,BASIC MATERIALS,649,646,648,628,631,"209,148","133,858.59",30,"65,000,000","41,015,000.00"
512,ACICO,ACICO INDUSTRIES CO.,INDUSTRIALS,339,340,340,333,334,"1,492,028","500,433.70",168,"330,439,730","110,366,869.82"
514,BPCC,BOUBYAN PETROCHEMICAL CO.,BASIC MATERIALS,607,605,611,605,607,"154,476","93,791.12",49,"533,629,475","323,913,091.33"
517,ALKOUT,ALKOUT INDUSTRIAL PROJECTS CO.,BASIC MATERIALS,"1,151.00","1,111.00","1,111.00","1,111.00","1,111.00",1,1.111,1,"100,900,796","112,100,784.36"
520,NICBM,NATIONAL INDUSTRIES COMPANY,INDUSTRIALS,220,218,224,218,224,74,16.366,2,"356,055,648","79,756,465.15"
522,EQUIPMENT,EQUIPMENT HOLDING CO.,INDUSTRIALS,540,539,539,526,528,"176,987","93,702.54",66,"25,000,000","13,200,000.00"
524,NCCI,NATIONAL CONSUMER HOLDING CO.,FINANCIAL SERVICES,115,115,115,113,115,"1,368,989","156,525.94",42,"300,000,000","34,500,000.00"
529,WARBACAP,WARBA CAPITAL HOLDING CO.,FINANCIAL SERVICES,766,767,775,741,741,"711,798","534,098.42",230,"29,999,945","22,229,959.25"
601,KCIN,KUWAIT NATIONAL CINEMA,CONSUMER DISCRETIONARY,"1,390.00","1,385.00","1,389.00","1,344.00","1,389.00","5,011","6,939.83",3,"92,602,177","128,624,423.85"
602,KHOT,KUWAIT HOTELS COMPANY,CONSUMER DISCRETIONARY,279,279,290,270,281,"31,500","8,598.05",13,"56,433,300","15,857,757.30"
603,MKHZN,AGILITY PUBLIC WAREHOUSING COMPANY,INDUSTRIALS,149,149,151,148,151,"12,694,079","1,905,717.36",339,"2,552,342,480","385,403,714.48"
605,ZAIN,MOBILE TELECOMMUNICATIONS COMPANY,TELECOMMUNICATIONS,523,523,523,519,519,"1,165,926","606,150.41",288,"4,327,058,909","2,245,743,573.77"
606,SENERGY,SENERGY HOLDING COMPANY ( K.S.C.P ),ENERGY,118,120,132,117,124,"14,554,429","1,828,750.41",729,"199,722,533","24,765,594.09"
608,IPG,INDEPENDENT PETROLEUM GROUP,ENERGY,650,618,618,589,599,"149,027","89,115.55",53,"180,787,500","108,291,712.50"
609,CLEANING,NATIONAL CLEANING CO.,INDUSTRIALS,146,147,150,144,144,"55,018,039","8,082,409.13","1,485","246,765,460","35,534,226.24"
613,OOREDOO,NATIONAL MOBILE TELECOMMUNICATIONS CO.,TELECOMMUNICATIONS,"1,400.00","1,383.00","1,395.00","1,379.00","1,380.00","207,077","285,901.91",81,"501,162,028","691,603,598.64"
614,KGL,KUWAIT & GULF LINK TRANSPORT CO.,INDUSTRIALS,80.6,81.1,84.8,81.1,84.5,"3,979,379","331,334.64",262,"277,486,663","23,447,623.02"
616,ASC,AUTOMATED SYSTEMS COMPANY,TECHNOLOGY,143,145,146,139,139,"881,830","124,826.58",108,"99,999,808","13,899,973.31"
617,NAPESCO,NATIONAL PETROLEUM SERVICES COMPANY,ENERGY,"1,559.00",0,0,0,0,0,0,0,"90,340,088","140,840,197.19"
618,KCPC,THE KUWAIT COMPANY FOR PROCESS PLANT CONSTRUCTION &CONTRACTING,INDUSTRIALS,353,349,353,348,353,"20,055","6,996.67",13,"133,313,531","47,059,676.44"
